,Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price.1,Swap,Commissions,Profit,Pips,Trade duration in seconds
0,93904898,2025-02-06 20:16:26,sell,0.5,BTCUSD,96449.11,96716.64,93746.67,2025-02-06 21:31:09,96381.13,0,0,27.34,67.98,4483
1,93904897,2025-02-06 13:52:46,sell,5,US30.cash,44709.1,44728.9,43827.41,2025-02-06 21:31:08,44687.74,0,0,85.89,21.36,27502
2,93904222,2025-02-06 20:58:07,sell,5,US100.cash,21648.85,21668.85,0,2025-02-06 21:16:34,21668.95,0,0,-80.79,-20.1,1107
3,93903632,2025-02-06 16:16:53,sell,5,US100.cash,21711.65,21711.25,21041.58,2025-02-06 21:05:58,21647.35,0,0,258.51,64.3,17345
4,93902997,2025-02-06 20:26:55,sell,5,ETHUSD,2706.71,2746.71,2406.71,2025-02-06 20:55:18,2696.53,0,0,40.93,10.18,1703
5,93902989,2025-02-06 16:16:53,sell,5,US100.cash,21720.35,21711.25,21041.58,2025-02-06 20:55:09,21666.25,0,0,217.5,54.1,16696
6,93902960,2025-02-06 12:59:15,sell,0.3,BTCUSD,96869.77,97169.79,92896.44,2025-02-06 20:54:34,96150.03,0,0,173.61,719.74,28519
7,93902491,2025-02-06 13:52:46,sell,1,US30.cash,44793.46,44817.55,43827.41,2025-02-06 20:48:19,44622.54,0,0,137.4,170.92,24933
8,93902241,2025-02-06 16:16:53,sell,4,US100.cash,21709.05,21696.88,21041.58,2025-02-06 20:45:39,21635.95,0,0,235.09,73.1,16126
9,93892887,2025-02-06 12:59:15,sell,0.1,BTCUSD,97441.17,98282.46,94472.39,2025-02-06 18:37:51,96955.43,0,0,39.05,485.74,20316
10,93891943,2025-02-06 12:59:15,sell,0.1,BTCUSD,97635.87,98282.46,94472.39,2025-02-06 18:22:33,96455.93,0,0,94.87,1179.94,19398
11,93891918,2025-02-06 13:52:46,sell,1,US30.cash,44826.06,44818.7,44530.06,2025-02-06 18:22:10,44750.44,0,0,60.8,75.62,16164
12,93889222,2025-02-06 16:16:53,sell,2,US100.cash,21731.35,21745.03,21459.92,2025-02-06 17:52:28,21681.85,0,0,79.6,49.5,5735
13,93889095,2025-02-06 13:52:46,sell,1,US30.cash,44836.14,44818.7,44530.06,2025-02-06 17:51:00,44744.24,0,0,73.9,91.9,14294
14,93883650,2025-02-06 13:52:46,sell,3,US30.cash,44926.86,44931.64,44530.06,2025-02-06 17:03:15,44754.64,0,0,416.07,172.22,11429
15,93883361,2025-02-06 16:16:53,sell,2,US100.cash,21731.35,21745.03,21459.92,2025-02-06 17:00:45,21674.15,0,0,92.15,57.2,2632
